encoding,backend,aupr_mean,aupr_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
NPM,xgb,0.6112,0.1641,0.9776,0.0462,0.9897,0.0084,0.3651,0.2548,0.7077,0.2287,0.3872,0.1864
OneHot,xgb,0.5151,0.1647,0.9702,0.0482,0.9896,0.0108,0.456,0.312,0.5072,0.3061,0.3155,0.1757
OneHot5Channel,xgb,0.5635,0.1666,0.973,0.048,0.9915,0.0094,0.4942,0.3038,0.5189,0.2911,0.3545,0.1693
LabelEncodingPairwise,xgb,0.5719,0.1596,0.9741,0.0484,0.9908,0.01,0.4757,0.2889,0.5571,0.2713,0.3893,0.1707
OneHotVstack,xgb,0.4781,0.1619,0.9621,0.0549,0.992,0.0094,0.4825,0.2571,0.4524,0.2765,0.3468,0.138
MM,xgb,0.3448,0.1479,0.9478,0.0552,0.9223,0.026,0.0733,0.1057,0.7928,0.1738,0.1097,0.1148
kmer,xgb,0.3448,0.1479,0.9478,0.0552,0.9223,0.026,0.0733,0.1057,0.7928,0.1738,0.1097,0.1148
bulges,xgb,0.612,0.165,0.9778,0.0458,0.9898,0.0084,0.3647,0.2539,0.7093,0.2289,0.388,0.1872
NPM,catboost,0.628,0.1587,0.9781,0.0492,0.9916,0.0077,0.4137,0.2589,0.6958,0.2255,0.4267,0.1849
OneHot,catboost,0.5466,0.1629,0.9739,0.0439,0.9914,0.0109,0.5435,0.3019,0.4716,0.2987,0.3492,0.1715
OneHot5Channel,catboost,0.5924,0.1596,0.9766,0.0457,0.9929,0.0094,0.5738,0.2803,0.4941,0.284,0.4018,0.1782
LabelEncodingPairwise,catboost,0.5338,0.1543,0.9733,0.0437,0.9858,0.0119,0.3289,0.2792,0.6782,0.2614,0.3178,0.1851
OneHotVstack,catboost,0.5546,0.1612,0.9732,0.0458,0.9928,0.0095,0.5602,0.2664,0.466,0.2755,0.3925,0.1537
MM,catboost,0.3329,0.1407,0.9466,0.0544,0.9213,0.0246,0.0692,0.1029,0.7659,0.1837,0.103,0.1081
kmer,catboost,0.3321,0.1404,0.9463,0.0548,0.9211,0.0247,0.0692,0.1029,0.7657,0.1835,0.103,0.108
bulges,catboost,0.6306,0.1626,0.9782,0.0479,0.9916,0.0078,0.4112,0.2585,0.6937,0.2297,0.4237,0.1841
NPM,decision_tree,0.0114,0.0356,0.4967,0.0757,0.952,0.1393,0.0016,0.0047,0.0494,0.186,0.0028,0.0082
OneHot,decision_tree,0.0224,0.0715,0.5446,0.1206,0.9169,0.1834,0.016,0.0728,0.1506,0.2947,0.0199,0.0837
OneHot5Channel,decision_tree,0.0134,0.0401,0.529,0.0869,0.9211,0.1704,0.0139,0.0443,0.111,0.2566,0.0152,0.0575
LabelEncodingPairwise,decision_tree,0.0357,0.0539,0.8397,0.0852,0.8829,0.0254,0.0462,0.0726,0.7836,0.1729,0.0749,0.0821
OneHotVstack,decision_tree,0.0146,0.0397,0.5699,0.0785,0.8565,0.209,0.022,0.046,0.2805,0.2395,0.0349,0.065
MM,decision_tree,0.0229,0.0501,0.6755,0.1029,0.9494,0.0409,0.0303,0.0679,0.1797,0.2446,0.0371,0.0597
kmer,decision_tree,0.0295,0.06,0.6497,0.1201,0.909,0.1124,0.0283,0.0666,0.2631,0.2716,0.0409,0.0831
bulges,decision_tree,0.0111,0.0354,0.504,0.0455,0.8888,0.2916,0.0043,0.0344,0.1082,0.303,0.0067,0.0507
