encoding,backend,aupr_mean,aupr_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
NPM,xgb,0.5676,0.1978,0.9838,0.0378,0.9883,0.0093,0.069,0.078,0.9069,0.128,0.1169,0.1179
OneHot,xgb,0.6609,0.2386,0.9835,0.0316,0.9907,0.0106,0.1349,0.1893,0.8479,0.2045,0.1748,0.1796
OneHot5Channel,xgb,0.6076,0.2299,0.9828,0.037,0.9933,0.0072,0.1363,0.1541,0.8338,0.199,0.1894,0.1661
LabelEncodingPairwise,xgb,0.5902,0.2157,0.9831,0.0358,0.9905,0.0114,0.1247,0.1731,0.8725,0.1797,0.171,0.179
OneHotVstack,xgb,0.5869,0.2445,0.9823,0.039,0.9954,0.0045,0.1487,0.1397,0.8159,0.2181,0.2086,0.1521
MM,xgb,0.4734,0.2916,0.9756,0.0425,0.9176,0.0291,0.0093,0.0116,0.9344,0.1038,0.0181,0.0223
kmer,xgb,0.4734,0.2916,0.9756,0.0425,0.9176,0.0291,0.0093,0.0116,0.9344,0.1038,0.0181,0.0223
bulges,xgb,0.5548,0.1903,0.9838,0.0389,0.9882,0.0094,0.0664,0.0733,0.9059,0.133,0.1134,0.1113
NPM,catboost,0.613,0.2084,0.9831,0.0395,0.9907,0.0064,0.0719,0.0741,0.918,0.1222,0.1235,0.1127
OneHot,catboost,0.6348,0.2246,0.9832,0.0375,0.9945,0.0057,0.1799,0.2176,0.8211,0.2141,0.2187,0.1857
OneHot5Channel,catboost,0.6595,0.2257,0.9833,0.0387,0.996,0.0032,0.1761,0.1926,0.8187,0.2094,0.2263,0.1849
LabelEncodingPairwise,catboost,0.5839,0.2195,0.9833,0.0364,0.9827,0.0169,0.0704,0.1067,0.9079,0.1355,0.1095,0.1379
OneHotVstack,catboost,0.6344,0.2509,0.9819,0.0409,0.9964,0.0033,0.1636,0.1623,0.8251,0.2011,0.2262,0.1627
MM,catboost,0.5066,0.2977,0.9735,0.0432,0.9166,0.0292,0.0087,0.011,0.9145,0.118,0.017,0.0211
kmer,catboost,0.5045,0.2965,0.9738,0.0435,0.9162,0.0293,0.0086,0.0109,0.9128,0.1168,0.0168,0.021
bulges,catboost,0.6171,0.2081,0.9835,0.0392,0.9909,0.0063,0.0742,0.0836,0.9174,0.1162,0.1254,0.122
NPM,decision_tree,0.0009,0.0014,0.4786,0.0714,0.9725,0.112,0.0001,0.0007,0.0175,0.0823,0.0003,0.0013
OneHot,decision_tree,0.0025,0.007,0.5533,0.1362,0.9227,0.2079,0.0004,0.0012,0.1517,0.338,0.0009,0.0022
OneHot5Channel,decision_tree,0.0012,0.0021,0.5186,0.1188,0.9304,0.1699,0.0009,0.0033,0.124,0.2974,0.0017,0.0054
LabelEncodingPairwise,decision_tree,0.0066,0.0097,0.9183,0.0411,0.8818,0.023,0.0063,0.0084,0.9562,0.0699,0.0124,0.0163
OneHotVstack,decision_tree,0.0013,0.0022,0.5199,0.0892,0.8816,0.1815,0.0021,0.0044,0.1472,0.2036,0.004,0.0084
MM,decision_tree,0.0019,0.0027,0.5367,0.1904,0.9543,0.0336,0.002,0.0038,0.1549,0.2805,0.0038,0.0071
kmer,decision_tree,0.0093,0.0154,0.6879,0.2,0.9205,0.0959,0.0039,0.0063,0.4219,0.3893,0.0075,0.012
bulges,decision_tree,0.001,0.0014,0.5088,0.0767,0.9262,0.2552,0.0,0.0002,0.0709,0.2555,0.0001,0.0004
