encoding,backend,pearson_mean,pearson_std,spearman_mean,spearman_std,rmse_mean,rmse_std
NPM,xgb,0.678,0.2283,0.0392,0.0289,128.1856,144.2758
OneHot,xgb,0.7477,0.213,0.0363,0.0273,133.4972,147.496
OneHot5Channel,xgb,0.7557,0.1974,0.0363,0.0276,131.1498,146.134
LabelEncodingPairwise,xgb,0.7136,0.2357,0.0361,0.0276,135.9671,148.4691
OneHotVstack,xgb,0.7334,0.2199,0.0354,0.0243,136.6887,148.3163
MM,xgb,0.2607,0.1265,0.0375,0.027,173.9365,145.777
kmer,xgb,0.2607,0.1265,0.0375,0.027,173.9365,145.777
bulges,xgb,0.6921,0.2136,0.0392,0.0288,129.5821,144.9136
NPM,catboost,0.6846,0.1789,0.0397,0.0295,132.918,145.5059
OneHot,catboost,0.6344,0.1916,0.0393,0.0292,138.8934,148.8704
OneHot5Channel,catboost,0.738,0.1589,0.0397,0.0293,135.9193,148.2506
LabelEncodingPairwise,catboost,0.612,0.1767,0.0395,0.0293,137.347,147.5713
OneHotVstack,catboost,0.6886,0.1879,0.0394,0.0287,137.1754,147.8131
MM,catboost,0.3017,0.1321,0.0383,0.0279,163.9842,146.2449
kmer,catboost,0.301,0.1324,0.0384,0.028,162.4389,140.7519
bulges,catboost,0.6859,0.1772,0.0397,0.0296,133.1015,145.9198
NPM,decision_tree,-0.0002,0.0061,0.0034,0.027,153.3479,149.5351
OneHot,decision_tree,0.0121,0.0282,0.0117,0.0244,147.1066,151.5646
OneHot5Channel,decision_tree,0.0016,0.0086,0.0014,0.0107,150.3139,147.7117
LabelEncodingPairwise,decision_tree,0.0293,0.013,0.0593,0.0392,170.145,136.7411
OneHotVstack,decision_tree,0.0008,0.0077,0.0101,0.0205,152.8064,148.2254
MM,decision_tree,0.0029,0.0111,0.0115,0.0184,157.896,142.3784
kmer,decision_tree,0.0165,0.0457,0.01,0.0266,156.0745,144.5603
bulges,decision_tree,0.035,0.1136,0.0334,0.1018,154.1124,146.5499
