data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,aupr,Backend_pairwise,NPM,XGBoost,CatBoost,0.0003389723074143931,0.0010169169222431793,CatBoost,0.6111741261220157,0.6279511430053833,True,True
CHANGEseq,aupr,Backend_pairwise,NPM,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.6111741261220157,0.011443067042650502,True,True
CHANGEseq,aupr,Backend_pairwise,NPM,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.6279511430053833,0.011443067042650502,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot,XGBoost,CatBoost,4.581252033939614e-09,1.3743756101818842e-08,CatBoost,0.5150726517283065,0.5465533236492826,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.5150726517283065,0.02240132779696241,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.5465533236492826,0.02240132779696241,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot5Channel,XGBoost,CatBoost,2.5674158952636334e-09,7.7022476857909e-09,CatBoost,0.563535425830078,0.5924342015818015,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot5Channel,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.563535425830078,0.013428661491459042,True,True
CHANGEseq,aupr,Backend_pairwise,OneHot5Channel,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.5924342015818015,0.013428661491459042,True,True
CHANGEseq,aupr,Backend_pairwise,OneHotVstack,XGBoost,CatBoost,1.6483937070058853e-16,4.945181121017656e-16,CatBoost,0.4781499572087262,0.5546083408565603,True,True
CHANGEseq,aupr,Backend_pairwise,OneHotVstack,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.4781499572087262,0.014609157772344056,True,True
CHANGEseq,aupr,Backend_pairwise,OneHotVstack,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.5546083408565603,0.014609157772344056,True,True
CHANGEseq,aupr,Backend_pairwise,kmer,XGBoost,CatBoost,6.289455280490113e-09,1.8868365841470337e-08,XGBoost,0.3448120948293977,0.3321326224145724,True,True
CHANGEseq,aupr,Backend_pairwise,kmer,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.3448120948293977,0.029469274223712254,True,True
CHANGEseq,aupr,Backend_pairwise,kmer,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.3321326224145724,0.029469274223712254,True,True
CHANGEseq,aupr,Backend_pairwise,LabelEncodingPairwise,XGBoost,CatBoost,4.48591125393312e-08,1.345773376179936e-07,XGBoost,0.5718644414866413,0.5337962873138276,True,True
CHANGEseq,aupr,Backend_pairwise,LabelEncodingPairwise,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.5718644414866413,0.03571496260748593,True,True
CHANGEseq,aupr,Backend_pairwise,LabelEncodingPairwise,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.5337962873138276,0.03571496260748593,True,True
CHANGEseq,aupr,Backend_pairwise,bulges,XGBoost,CatBoost,2.1047842827264235e-05,6.314352848179271e-05,CatBoost,0.6120176584324266,0.630585529353505,True,True
CHANGEseq,aupr,Backend_pairwise,bulges,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.6120176584324266,0.011108812649696773,True,True
CHANGEseq,aupr,Backend_pairwise,bulges,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.630585529353505,0.011108812649696773,True,True
CHANGEseq,aupr,Backend_pairwise,MM,XGBoost,CatBoost,4.740570838378005e-08,1.4221712515134013e-07,XGBoost,0.3448120948293977,0.3329161893358119,True,True
CHANGEseq,aupr,Backend_pairwise,MM,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.3448120948293977,0.022883945072105,True,True
CHANGEseq,aupr,Backend_pairwise,MM,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.3329161893358119,0.022883945072105,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,OneHot,6.330678014527472e-16,1.7725898440676922e-14,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,OneHot5Channel,2.9395745530416297e-10,8.230808748516563e-09,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,OneHotVstack,3.866417871018976e-17,1.0825970038853133e-15,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,kmer,1.9762048178341183e-19,5.5333734899355315e-18,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,LabelEncodingPairwise,6.600342235270615e-08,1.8480958258757723e-06,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,bulges,0.41541773902249957,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_xgb,Multiple,NPM,MM,1.9762048178341183e-19,5.5333734899355315e-18,NPM,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,OneHot5Channel,8.034638305774292e-14,2.2496987256168018e-12,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,OneHotVstack,6.813606144314757e-07,1.907809720408132e-05,OneHot,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,kmer,3.450720240341339e-19,9.66201667295575e-18,OneHot,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,LabelEncodingPairwise,2.183378429887133e-12,6.113459603683973e-11,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,bulges,2.7473445501329987e-16,7.692564740372396e-15,bulges,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot,MM,3.450720240341339e-19,9.66201667295575e-18,OneHot,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot5Channel,OneHotVstack,5.064153954024344e-15,1.4179631071268164e-13,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot5Channel,kmer,1.8686821759772635e-19,5.232310092736338e-18,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot5Channel,LabelEncodingPairwise,0.0363052466058453,1.0,LabelEncodingPairwise,,,True,False
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot5Channel,bulges,8.823824680923867e-11,2.470670910658683e-09,bulges,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHot5Channel,MM,1.8686821759772635e-19,5.232310092736338e-18,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHotVstack,kmer,1.6228993081404496e-17,4.544118062793259e-16,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHotVstack,LabelEncodingPairwise,3.200036134092597e-16,8.96010117545927e-15,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHotVstack,bulges,2.1699580001753707e-17,6.075882400491038e-16,bulges,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,OneHotVstack,MM,1.6228993081404496e-17,4.544118062793259e-16,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,kmer,LabelEncodingPairwise,1.9217005532651122e-19,5.3807615491423145e-18,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,kmer,bulges,2.03223608657847e-19,5.690261042419716e-18,bulges,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,kmer,MM,0.9662865696454476,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_xgb,Multiple,LabelEncodingPairwise,bulges,2.7425490462960217e-08,7.67913732962886e-07,bulges,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,LabelEncodingPairwise,MM,1.9217005532651122e-19,5.3807615491423145e-18,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_xgb,Multiple,bulges,MM,2.03223608657847e-19,5.690261042419716e-18,bulges,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,NPM,OneHot,2.2279027473728098e-17,6.238127692643868e-16,NPM,,,True,True
