data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,NPM,XGBoost,CatBoost,0.0005774955413146588,0.0017324866239439764,CatBoost,0.5964987610437308,0.6351810092795698,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,NPM,XGBoost,DecisionTree,5.960464477539063e-08,1.7881393432617188e-07,XGBoost,0.5964987610437308,0.014483529744089675,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,NPM,CatBoost,DecisionTree,5.960464477539063e-08,1.7881393432617188e-07,CatBoost,0.6351810092795698,0.014483529744089675,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot,XGBoost,CatBoost,0.0003192241680392993,0.0009576725041178978,CatBoost,0.5256764513003621,0.5736173501656691,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot,XGBoost,DecisionTree,2.386484752546066e-10,7.159454257638198e-10,XGBoost,0.5256764513003621,0.037978769248874715,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot,CatBoost,DecisionTree,2.386484752546066e-10,7.159454257638198e-10,CatBoost,0.5736173501656691,0.037978769248874715,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot5Channel,XGBoost,CatBoost,5.155753141959115e-10,1.5467259425877345e-09,CatBoost,0.5465338907999652,0.616840484303579,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot5Channel,XGBoost,DecisionTree,8.055970661358803e-14,2.416791198407641e-13,XGBoost,0.5465338907999652,0.0022244989513217858,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHot5Channel,CatBoost,DecisionTree,7.732733053009578e-14,2.3198199159028734e-13,CatBoost,0.616840484303579,0.0022244989513217858,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHotVstack,XGBoost,CatBoost,1.4475771074150803e-10,4.342731322245241e-10,CatBoost,0.5023054871426682,0.5937779808071193,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHotVstack,XGBoost,DecisionTree,2.3900953516978203e-11,7.17028605509346e-11,XGBoost,0.5023054871426682,0.016852719928114695,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,OneHotVstack,CatBoost,DecisionTree,2.3900953516978203e-11,7.17028605509346e-11,CatBoost,0.5937779808071193,0.016852719928114695,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,kmer,XGBoost,CatBoost,2.41328243944137e-19,7.2398473183241095e-19,CatBoost,0.3151046496456943,0.3619739556496156,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,kmer,XGBoost,DecisionTree,1.3514423764300188e-19,4.0543271292900562e-19,XGBoost,0.3151046496456943,0.025710825412010387,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,kmer,CatBoost,DecisionTree,1.3145084606842484e-19,3.943525382052745e-19,CatBoost,0.3619739556496156,0.025710825412010387,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,XGBoost,CatBoost,7.173104920125957e-07,2.1519314760377873e-06,CatBoost,0.4843359574848744,0.5723667214099721,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,XGBoost,DecisionTree,1.4685083764479299e-19,4.40552512934379e-19,XGBoost,0.4843359574848744,0.08807246711395302,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,LabelEncodingPairwise,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.5723667214099721,0.08807246711395302,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,bulges,XGBoost,CatBoost,2.487605589237596e-05,7.462816767712788e-05,CatBoost,0.6017837620833295,0.636374594610973,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,bulges,XGBoost,DecisionTree,3.503864964208263e-10,1.0511594892624789e-09,XGBoost,0.6017837620833295,0.03038744628396708,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,bulges,CatBoost,DecisionTree,3.503864964208263e-10,1.0511594892624789e-09,CatBoost,0.636374594610973,0.03038744628396708,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,MM,XGBoost,CatBoost,2.549763309710142e-19,7.649289929130426e-19,CatBoost,0.3151046496456943,0.36079123081906855,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,MM,XGBoost,DecisionTree,1.3145084606842484e-19,3.943525382052745e-19,XGBoost,0.3151046496456943,0.031076333963672983,True,True
CHANGEseq,pearson_after_inv_trans,Backend_pairwise,MM,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.36079123081906855,0.031076333963672983,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHot,8.523228870268424e-08,2.386504083675159e-06,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHot5Channel,1.1912849967316228e-05,0.00033355979908485437,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,OneHotVstack,5.255946727661397e-10,1.4716650837451912e-08,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,kmer,4.9702834601934116e-18,1.3916793688541553e-16,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,LabelEncodingPairwise,1.261725078784087e-09,3.532830220595444e-08,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,bulges,0.2704728023521492,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,NPM,MM,4.9702834601934116e-18,1.3916793688541553e-16,NPM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,OneHot5Channel,0.00514173590138417,0.14396860523875676,OneHot5Channel,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,OneHotVstack,0.05135705083852095,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,kmer,1.827604072577997e-11,5.117291403218392e-10,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,LabelEncodingPairwise,0.00199300648336813,0.05580418153430764,OneHot,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,bulges,2.9179259112846428e-09,8.170192551596999e-08,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot,MM,1.827604072577997e-11,5.117291403218392e-10,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,OneHotVstack,1.4453838222541392e-05,0.000404707470231159,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,kmer,6.585547938561033e-13,1.8439534227970892e-11,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,LabelEncodingPairwise,5.403511481168228e-06,0.0001512983214727104,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,bulges,2.806100437292212e-06,7.857081224418194e-05,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHot5Channel,MM,6.585547938561033e-13,1.8439534227970892e-11,OneHot5Channel,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,kmer,2.7103577864217263e-09,7.589001801980834e-08,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_xgb,Multiple,OneHotVstack,LabelEncodingPairwise,0.21125804622827726,1.0,No diff,,,False,False
